,success,timestamp,historical,base,date,rates,SGD_CNY_Rate
2023-10-11,True,1697068799,True,EUR,2023-10-11,"{'SGD': 1.447669, 'CNY': 7.755204}",5.357028436749008
2023-10-12,True,1697155199,True,EUR,2023-10-12,"{'SGD': 1.443022, 'CNY': 7.694173}",5.3319859295284475
2023-10-13,True,1697241599,True,EUR,2023-10-13,"{'SGD': 1.441042, 'CNY': 7.680775}",5.3300146699402235
2023-10-14,True,1697327999,True,EUR,2023-10-14,"{'SGD': 1.441042, 'CNY': 7.680249}",5.329649656290379
2023-10-15,True,1697414399,True,EUR,2023-10-15,"{'SGD': 1.440451, 'CNY': 7.552046}",5.242834362293476
2023-10-16,True,1697500799,True,EUR,2023-10-16,"{'SGD': 1.444314, 'CNY': 7.71532}",5.341857795465529
2023-10-17,True,1697587199,True,EUR,2023-10-17,"{'SGD': 1.446801, 'CNY': 7.730535}",5.343191634509514
2023-10-18,True,1697673599,True,EUR,2023-10-18,"{'SGD': 1.44732, 'CNY': 7.708196}",5.325840864494376
2023-10-19,True,1697759999,True,EUR,2023-10-19,"{'SGD': 1.452972, 'CNY': 7.73983}",5.326895494200852
2023-10-20,True,1697846399,True,EUR,2023-10-20,"{'SGD': 1.456033, 'CNY': 7.757329}",5.327715099863808
2023-10-21,True,1697932799,True,EUR,2023-10-21,"{'SGD': 1.456033, 'CNY': 7.757262}",5.327669084423224
2023-10-22,True,1698019199,True,EUR,2023-10-22,"{'SGD': 1.453551, 'CNY': 7.747758}",5.330227835143039
2023-10-23,True,1698105599,True,EUR,2023-10-23,"{'SGD': 1.458299, 'CNY': 7.804765}",5.351964857686935
2023-10-24,True,1698191999,True,EUR,2023-10-24,"{'SGD': 1.449417, 'CNY': 7.744634}",5.343275261708673
2023-10-25,True,1698278399,True,EUR,2023-10-25,"{'SGD': 1.450206, 'CNY': 7.731538}",5.3313377547741485
2023-10-26,True,1698364799,True,EUR,2023-10-26,"{'SGD': 1.445988, 'CNY': 7.728651}",5.344892903675549
2023-10-27,True,1698451199,True,EUR,2023-10-27,"{'SGD': 1.447898, 'CNY': 7.740688}",5.346155599358519
2023-10-28,True,1698537599,True,EUR,2023-10-28,"{'SGD': 1.447898, 'CNY': 7.740159}",5.345790242130317
2023-10-29,True,1698623999,True,EUR,2023-10-29,"{'SGD': 1.447345, 'CNY': 7.572785}",5.232190666358055
2023-10-30,True,1698710399,True,EUR,2023-10-30,"{'SGD': 1.448736, 'CNY': 7.762545}",5.358150139155788
2023-10-31,True,1698796799,True,EUR,2023-10-31,"{'SGD': 1.448748, 'CNY': 7.739864}",5.3424501707681396
2023-11-01,True,1698883199,True,EUR,2023-11-01,"{'SGD': 1.446491, 'CNY': 7.744839}",5.354225501575883
2023-11-02,True,1698969599,True,EUR,2023-11-02,"{'SGD': 1.449254, 'CNY': 7.76674}",5.359129593570209
2023-11-03,True,1699055999,True,EUR,2023-11-03,"{'SGD': 1.451826, 'CNY': 7.841437}",5.401085942805818
2023-11-04,True,1699142399,True,EUR,2023-11-04,"{'SGD': 1.451826, 'CNY': 7.836707}",5.397827976630808
2023-11-05,True,1699228799,True,EUR,2023-11-05,"{'SGD': 1.452677, 'CNY': 7.833851}",5.392699822465696
2023-11-06,True,1699315199,True,EUR,2023-11-06,"{'SGD': 1.448355, 'CNY': 7.792892}",5.380512374383352
2023-11-07,True,1699401599,True,EUR,2023-11-07,"{'SGD': 1.448607, 'CNY': 7.785961}",5.37479178272644
2023-11-08,True,1699487999,True,EUR,2023-11-08,"{'SGD': 1.452704, 'CNY': 7.79717}",5.367349439390268
2023-11-09,True,1699574399,True,EUR,2023-11-09,"{'SGD': 1.451306, 'CNY': 7.768883}",5.353028927049154
2023-11-10,True,1699660799,True,EUR,2023-11-10,"{'SGD': 1.458157, 'CNY': 7.810535}",5.356443099062721
