Published At,Title,Source,Author,URL,Description,Content,title_sentiment,description_sentiment
2023-10-17T14:58:50Z,The US Just Escalated Its AI Chip War With China,Wired,Will Knight,https://www.wired.com/story/the-us-just-escalated-its-ai-chip-war-with-china/,"The American government has tightened its restrictions on exports of chips and chipmaking equipment, closing loopholes that let Chinese companies access advanced technology.","At an event in Beijing this week, the Chinese search giant Baidu announced a new version of its most capable language model, called Ernie 4.0. Baidu says the performance of this model matches that of… [+3284 chars]",-0.5994,0.25
2023-11-10T21:42:27Z,The NSA Seems Pretty Stressed About the Threat of Chinese Hackers in US Critical Infrastructure,Wired,Lily Hay Newman,https://www.wired.com/story/nsa-china-hacking-criticial-us-infrastructure/,US government officials continue to warn that the public and private sectors need to identify and root out China-backed attackers lurking in industrial control systems.,"The United States National Security Agency is often tightlipped about its work and intelligence. But at the Cyberwarcon security conference in Washington DC on Thursday, two members of the agency's C… [+3446 chars]",-0.5994,-0.6808
2023-11-08T13:00:00Z,GM is attracted to these new non-rare earth magnets for its EV motors,The Verge,Andrew J. Hawkins,https://www.theverge.com/2023/11/8/23951557/gm-niron-magnet-iron-nitride-ev-motor-investment,GM is teaming up with Niron Magnetics to explore ways to reduce the company’s dependence on China for magnets in its EV motors.,"GM is attracted to these new non-rare earth magnets for its EV motors
GM is attracted to these new non-rare earth magnets for its EV motors
 / The automaker is teaming up with a small Minnesota-bas… [+3408 chars]",0.4215,0.0
2023-11-10T09:05:22Z,"Meta may return to China with the release of a new, budget VR headset",Engadget,Steve Dent,https://www.engadget.com/meta-may-return-to-china-with-the-release-of-a-new-budget-vr-headset-090522700.html,"Meta hasn't been in China since Facebook was blocked way back in 2009, but that may be about to change. The company is reportedly planning to release an all-new, lower-priced version of its virtual reality headset in the nation via an exclusive deal with vide…","Meta hasn't been in China since Facebook was blocked way back in 2009, but that may be about to change. The company is reportedly planning to release an all-new, lower-priced version of its virtual r… [+1835 chars]",0.0,0.0516
2023-11-08T19:47:23Z,Pandas depart US National Zoo for China,BBC News,0,https://www.bbc.co.uk/news/av/world-us-canada-67363702,"The three giant pandas were on loan from China, as part of diplomatic relations between both countries.","After 23 years at the National Zoo in Washington DC, three giant pandas were returned to China.
In 1972, China loaned the US its first giant panda after President Richard Nixon resumed the two count… [+221 chars]",0.0,0.0
2023-10-25T19:40:00Z,China Gears Up to Launch Its Sixth Space Station Crew,Gizmodo.com,Passant Rabie,https://gizmodo.com/china-gears-up-to-launch-its-sixth-space-station-crew-1850959151,"Three astronauts are gearing up to launch to China’s space station in low Earth orbit, where they will spend six months carrying out a variety of experiments.Read more...","Three astronauts are gearing up to launch to Chinas space station in low Earth orbit, where they will spend six months carrying out a variety of experiments.
The Shenzhou-17 mission is set for launc… [+2151 chars]",0.0,-0.2732
2023-10-16T17:35:00Z,"iPhone Loses Market Share Dominance in China, Report Says",Gizmodo.com,Maxwell Zeff,https://gizmodo.com/iphone-loses-market-share-dominance-in-china-1850929863,"Apple’s iPhone lost its top spot among Chinese smartphones, according to a Jefferies analyst note originally reported by CNBC. A lackluster release of the iPhone 15 allowed Huawei to replace the iPhone as the number one spot for market share.Read more...","Apples iPhone lost its top spot among Chinese smartphones, according to a Jefferies analyst note originally reported by CNBC. A lackluster release of the iPhone 15 allowed Huawei to replace the iPhon… [+1849 chars]",0.1779,-0.0516
2023-10-22T00:44:35Z,Ukraine fears drone shortages due to China restrictions,BBC News,https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/world-europe-67078089,Volunteers in Ukraine say it is harder to access Chinese-made drone parts after Beijing clamped down.,"Drones have had a profound effect on the war in Ukraine, used in great quantities by both sides. China's move to place restrictions on exports, however, has led to concerns that there could be a prob… [+5275 chars]",-0.5267,0.0
2023-10-31T03:16:36Z,Fukushima: US buys Japan seafood to counter China ban,BBC News,https://www.facebook.com/bbcnews,https://www.bbc.co.uk/news/business-67269794,The US ambassador to Japan said Washington may also look into other ways to help counter China's ban.,"The US military in Japan has started to bulk buy the country's seafood in response to a Chinese ban after the release of treated water from the Fukushima nuclear plant.
The US ambassador to Japan Ra… [+2457 chars]",-0.5574,-0.2263
2023-10-22T08:27:37Z,Watch: Boats collide in South China Sea's disputed waters,BBC News,0,https://www.bbc.co.uk/news/av/world-asia-67186031,The Philippines armed forces said their video showed a Chinese vessel colliding with a Philippine ship.,"The Philippines has accused China's coast guard of colliding with a Filipino supply boat in disputed waters of the South China Sea, endangering its crew. 
China said the Philippines ""deliberately st… [+263 chars]",-0.4019,-0.128
2023-10-14T13:00:00Z,How China’s EV Boom Caught Western Car Companies Asleep at the Wheel,Wired,Carlton Reid,https://www.wired.com/story/how-chinas-ev-boom-caught-western-car-companies-asleep-at-the-wheel/,"Auto execs in the US, Europe, and Japan never thought Chinese EVs were a threat. Now they’re coming to wipe the floor with their Western counterparts.","David Tyfield, a professor of political economy at Lancaster University and author of the 2019 book Liberalism 2.0 and the Rise of China, tells me there is no future for the EV which does not feature… [+2611 chars]",0.0,-0.5267
